id,text_no_spaces,predicted_positions,predicted_text
690,Нонашгерой–несдаётся,"[2, 6, 15, 18]",Но нашг ерой–несд аёт ся
691,"Слезыутри,",[5],"Слезы утри,"
692,Пожизниидётисмеётся,"[2, 9, 13]",По жизниид ётис меётся
693,"Вотон,смотри","[3, 7]","Вот он,с мотри"
694,Онсамыйсчастливыйизнас,"[2, 8, 19]",Он самыйс частливыйиз нас
695,Избранныйнебесами,[9],Избранный небесами
696,ОнВам–нестарыйбаркас,"[2, 6, 8, 11]",Он Вам– не ста рыйбаркас
697,Афрегатспарусами,"[7, 9]",Афрегат сп арусами
698,Вчёмжепричинатогда?,"[1, 5, 8, 16]",В чёмж епр ичинатог да?
699,Триобычныестрочки,[10],Триобычные строчки
700,Ждутегодомавсегда,"[4, 8, 13]",Ждут егод омавс егда
701,Егопапиныдочки,"[3, 10]",Его папиныд очки
702,Онпомогаетдобрымсоветом,"[2, 11, 18]",Он помогаетд обрымсо ветом
703,Имудрымсловомонлечитдуши,"[2, 8, 15, 18]",Им удрымс ловомон леч итдуши
704,"Навсевопросы,онзнаетответы","[2, 6, 15, 18, 24]","На всев опросы,он зна етотве ты"
705,"Всегдаподскажет,каксделатьлучше","[6, 10, 18, 22, 30]","Всегда подс кажет,ка ксде латьлучш е"
706,Ачтоегождётвпереди?,"[1, 5, 9, 14, 16]",А чтое гожд ётвпе ре ди?
707,Тамвсёнетакгладко,"[3, 7, 10, 14]",Там всён ета кгла дко
708,Новсёжеонпобедит,"[2, 6, 9, 12]",Но всёж еон поб едит
709,Парень–загадка,"[6, 8]",Парень –з агадка
710,Поминутамосыпается,"[2, 9]",По минутам осыпается
711,Ожиданиеневозможного,[8],Ожидание невозможного
712,Раннимутромпросыпается,"[6, 7]",Ранним у тромпросыпается
713,Отдвижениянеосторожного.,[14],Отдвижениянеос торожного.
714,Какмолчаниеледянойзимы,"[3, 12, 19]",Как молчаниел едянойз имы
715,"Насзакуталонеизвестностью,","[3, 12]","Нас закуталон еизвестностью,"
716,"Здесьтакдолгодругдругаискалимы,","[5, 9, 20, 26]","Здесь такд олгодругдру гаиска лимы,"
717,"И,конечно,пропалибезвести","[2, 11, 19]","И, конечно,п ропалибе звести"
718,Простится,[9],Простится
719,"Нетусил,закрываю,","[3, 9]","Нет усил,з акрываю,"
720,"Яглазазакрываю,","[1, 7]","Я глазаз акрываю,"
721,Сквозьтумануплываю,"[6, 11]",Сквозь туман уплываю
722,Поаллеямстолицы,"[2, 9]",По аллеямс толицы
723,Запотерейпотеря,"[2, 10]",За потерейп отеря
724,Игодаполетели,"[1, 6]",И годап олетели
725,Задождямиметели,"[2, 10]",За дождямим етели
726,Перелетныептицы,[10],Перелетные птицы
727,Тольконочьюнемогууснуть,"[6, 12, 15, 20]",Только ночьюн емо гуусн уть
728,Странныйхолодвсердцепрячется,"[8, 14, 16, 23]",Странный холодв се рдцепря чется
729,Чтослучилось?–скажитемнекто-нибудь,"[3, 14, 16, 22, 26]",Что случилось?– ск ажитем нект о-нибудь
730,Толькоосеньвокномнерасплачется,"[6, 12, 14, 20, 23]",Только осеньв ок номнер асп лачется
731,Вподоконникмойбьютсягорошины,"[1, 12, 16, 23]",В подоконникм ойбь ютсягор ошины
732,"Тишину,разбиваявесельем,","[7, 16]","Тишину, разбиваяв есельем,"
733,Умиралидавнопонемножкумы,"[8, 14, 17]",Умиралид авнопо нем ножкумы
734,"И,наверное,былоспасение","[2, 12, 17]","И, наверное,б ылосп асение"
735,Времясмотритспокойноспрезрением,"[5, 13, 15, 21]",Время смотритс по койнос презрением
736,Выменяужеверноневспомните,"[2, 7, 11]",Вы меняу жеве рноневспомните
737,Опоздавшееходитпрозрение,"[1, 11, 17]",О поздавшеех одитпр озрение
738,Помоейгладковыбритойкомнате,"[2, 7, 16, 23]",По моейг ладковыбр итойком нате
739,Недосказаноинедослушенно,"[2, 12, 14]",Не досказанои не дослушенно
740,Сердцебьетсядругимивершинами,"[4, 13, 21]",Серд цебьетсяд ругимиве ршинами
741,"Значитвсебезнадежноразрушено,","[6, 10, 14, 22]","Значит всеб езна дежнораз рушено,"
742,"Нузачемже,зачемпоспешилимы","[2, 8, 12]","Ну зачемж е,за чемпоспешилимы"
743,"Помню,помнюякакмывстретилисьстобою","[2, 7, 10, 15, 19, 22]","По мню,п омн юякак мывс тре тилисьстобою"
744,"Былконецдня,тыспросилауменясигареточку","[3, 9, 14, 17, 26, 28, 33]","Был конецд ня,ты спр осилаумен яс игаре точку"
745,"Яподумал,чтозафигня","[1, 10, 14, 17]","Я подумал,ч тоза фиг ня"
746,"Сигареткаосталасьвсегоодна,нуладнона...","[9, 18, 24, 30]","Сигаретка осталасьв сегоод на,нул аднона..."
747,Мыпрожилипятнадцатьлет,"[2, 10, 14]",Мы прожилип ятна дцатьлет
748,Новоттеперьтыушлатебянет.,[2],Но воттеперьтыушлатебянет.
749,Нотыушлавсвоеморанжевомплаще,"[9, 10, 11, 18]",Нотыушлав с в оеморан жевомплаще
750,"Нутыдаешьвообще,нутыдаешьвообщеблин!","[4, 18, 23, 29]","Нуты даешьвообще,ну тыдае шьвооб щеблин!"
751,Нотыушлаинесказала:яскоровернусь,"[2, 5, 12, 15, 24, 26]",Но тыу шлаинес каз ала:яскор ов ернусь
752,"ЧёжетыделаешьЛюсь,как-жеябудуодин","[6, 11, 15, 21, 25, 27]","Чёжеты делае шьЛю сь,как -жея бу дуодин"
753,"Помню,помнюякакпоулицевесенний,","[2, 7, 10, 15, 19, 22]","По мню,п омн юякак поул ице весенний,"
754,"Ястобойгулял,мыкупилибанкупиваидвухлещей","[1, 8, 15, 18, 25, 36, 38]","Я стобойг улял,мы куп илибанк упиваидвухл ещ ей"
755,"Тыбыламолода-красива,","[2, 7, 14, 16]","Ты былам олода-к ра сива,"
756,Ипохожанаапельсинавсвоемновомплаще,"[1, 10, 20, 22, 28]",И похожанаа пельсинавс во емново мплаще
757,"Иялюбилтебякаксвою,вотитеперьотебеяпою!","[1, 3, 9, 14, 18, 24, 26, 37]","И ял юбилте бякак свою ,вотит еп ерьотебеяпо ю!"
758,"Помню,помню,какядарилтебе,чтопопросишь","[2, 7, 10, 15, 19, 26, 32, 36]","По мню,п омн ю,как ядар илтебе, чтопоп роси шь"
759,"Нокакойжедуракябыл,если-бзнал,чтотыменябросишь","[2, 8, 11, 18, 23, 28, 30, 37, 41, 44]","Но какойж еду ракябыл ,если -бзна л, чтотыме нябр оси шь"
760,"Сэкономилбы,иялюбилтебяобожал","[12, 16, 22]","Сэкономилбы, иялю билтеб яобожал"
761,"Нуатымневспинукинжал,охнесладкомне","[6, 9, 11, 25]","Нуатым нев сп инукинжал,охне сладкомне"
762,"Япригрелнагрудизмею,вотитеперьотебеяпою!","[1, 9, 12, 17, 24, 26, 37, 39]","Я пригрелн агр удизм ею,воти те перьотебеяп ою !"
763,"Ясмотрюнатебя,","[1, 8, 11]","Я смотрюн ате бя,"
764,"Втелевизореты,аянадиване.","[1, 6, 16, 22]","В телев изореты,ая надива не."
765,"ВгородеNдожди,","[1, 8, 10]","В городеN до жди,"
766,Замыкание+бах!ивсталитрамваи,"[9, 11, 17, 26]",Замыкание +б ах!ивс талитрамв аи
767,Травмачерепно-мозговаямоялюбовь!,"[6, 23, 27]",Травма черепно-мозговаям оялю бовь!
768,"По-по-понаконаплю,иктебедоплыву,долечу,доеду","[8, 13, 20, 22, 24, 29, 38]","По-по-по након аплю,ик те бе доплы ву,долечу ,доеду"
769,"Рядомстобойпоселюсь,тыбудешьрадатакомусоседу!","[5, 7, 13, 23, 26, 33, 38, 45]","Рядом ст обойпо селюсь,тыб уде шьрадат акому соседу!"
770,"МыизРоссиинародпростой,ятесразускажуЗдорово!","[2, 5, 12, 18, 27, 29, 32, 38]","Мы изР оссиина родпро стой,ятес ра зус кажуЗд орово!"
771,"АтыулыбнёшьсяискажешьмнеЯтакждалатебя,Вова!","[1, 4, 15]","А тыу лыбнёшьсяис кажешьмнеЯтакждалатебя,Вова!"
772,"Ятакждалатебя,Вова!","[1, 5, 11, 17]","Я такж далате бя,Вов а!"
773,"Втелевизореты,аянадиване","[1, 6, 16, 18]","В телев изореты,ая на диване"
774,"ВгородеNзима,","[1, 8]","В городеN зима,"
775,Скоровыходывсеивходызавалит,"[5, 12, 17, 24]",Скоро выходыв сеивх одызава лит
776,"Нуяпридубезкрика,безшума,","[2, 4, 8, 14, 21]","Ну яп риду безкри ка,безш ума,"
777,"Нунайдукакой-нибудьповод,","[2, 8]","Ну найдук акой-нибудьповод,"
778,"СкажуНуздравствуй,Ума,","[17, 20]","СкажуНуздравствуй ,Ум а,"
779,"ОнаскажетНуздравствуй,Вова.","[3, 10, 22, 24]","Она скажетН уздравствуй, Во ва."
780,Нунадокак-тоотношениязавязывать,"[2, 7, 14, 24]",Ну надок ак-тоот ношениязав язывать
781,ЯскажуНукактытутвообщеживаздорова-то?,"[1, 9, 15, 19]",Я скажуНук актыту твоо бщеживаздорова-то?
782,"Онаскажет:'А,вообще,Володька,хреново!'","[3, 11, 15, 23, 33]","Она скажет:' А,во обще,Вол одька,хрен ово!'"
783,Иначнётрассказывать.,"[1, 8]",И начнётр ассказывать.
784,"Вот,-скажет,-вчера,кпримеру,приходилТарнтино","[5, 7, 15, 16, 24, 26, 35]","Вот,- ск ажет,-вч е ра,кприм ер у,приходи лТарнтино"
785,"Нажрался,говорит,исталприставатькомне,здоровеннаядетина.","[9, 18, 20, 25, 36, 43]","Нажрался, говорит,и ст алпри ставатькомн е,здоро веннаядетина."
786,ЯтогдаемутакстрогосказалаКвентин!,"[1, 7, 11, 21, 29, 31]",Я тогдае мута кстрогоска залаКвен ти н!
787,"Может,тыконечно,говорит,инезаметил,","[6, 9, 18, 27, 29, 32]","Может, тык онечно,го ворит,ине за мет ил,"
788,"Новообще-тояждуВолодькуизРоссии,","[2, 12, 17, 26, 29]","Но вообще-тоя ждуВо лодькуизР осс ии,"
789,"Атебя,говорит,вообщезаходитьнепросили","[1, 7, 16, 23, 32, 35]","А тебя,г оворит,во общезах одитьнепр оси ли"
790,"Воттакаябатва,прикинь?","[3, 9, 16]","Вот такаяб атва,пр икинь?"
791,Бываетнедосмеха,"[6, 11]",Бывает недос меха
792,"Вобщем,былотруднобезтебя,Вован.","[1, 8, 12, 20, 24, 30]","В общем,б ылот руднобез тебя ,Вован ."
793,"Хорошо,чтоприехал","[7, 11]","Хорошо, чтоп риехал"
794,"Жил-былнасветеАнтонГородецкий,","[7, 10, 16]","Жил-был нас ветеАн тонГородецкий,"
795,"Бросилажена,онгрустилнепо-детски.","[7, 13, 16, 24]","Бросила жена,о нгр устилнеп о-детски."
796,Пришёлкколдунье:'Ану-канаколдуймне!',"[6, 8, 18, 29, 35]",Пришёл кк олдунье:'А ну-канаколд уймне! '
797,"'Легко,мойхороший,толькохлопнувладоши,","[7, 12, 20, 27, 34]","'Легко, мойхо роший,то лькохло пнувлад оши,"
798,"Иженавернётся,оттогоотвернётся,","[5, 15, 18, 23]","Ижена вернётся,о тто гоотв ернётся,"
799,Ималенькаяжизньвнутринеёоборвётся.',"[10, 16]",Ималенькая жизньв нутринеёоборвётся.'
800,Новдругналетелинаведьмутени,"[2, 17]",Но вдругналетелина ведьмутени
801,"Привидений,говорят:'Небыватьпреступленью'","[3, 12, 21, 25, 32]","При видений,г оворят:'Н ебыв атьпрес тупленью'"
802,"Нучтожеты,чтотыпотупилавзор?","[2, 6, 12, 16, 19, 28]","Ну чтож еты,чт отып оту пилавзор?"
803,"Сдавайся,ведьма–«НочнойДозор».","[9, 16, 18, 26]","Сдавайся, ведьма– «Н очнойДоз ор»."
804,"Итреснулмирнапополам,дымитразлом,","[1, 9, 13, 25, 31]","И треснулм ирна пополам,дыми тразло м,"
805,"Ильётсякровь,идётвойнадобрасозлом.","[7, 14, 19, 26, 32]","Ильётся кровь,и дётво йнадобр асозло м."
806,"Имеркнетсвет,вуглахпаукплетётузор,","[4, 9, 15, 17, 28]","Имер кнетс вет,ву гл ахпаукплетё тузор,"
807,Потёмнымулицамлетит«ночнойдозор».,"[8, 15, 21, 29]",Потёмным улицамл етит«н очнойдоз ор».
808,"ИпонялАнтоха,чтопоступилплохо,","[1, 7, 15, 19, 28]","И понялА нтоха,чт опос тупилплох о,"
809,"Ито,чторазвелаегоколдунья,каклоха.","[1, 5, 9, 17, 21, 32]","И то,ч тора звелаего колд унья,каклох а."
810,"Носила«иного»вантоновомвзоре,","[2, 7, 15, 17, 27]","Но сила« иного»ва нт оновомвзор е,"
811,"Азначит,онбудетработатьв«дозоре».","[1, 9, 12, 18, 27, 29]","А значит,о нбу детраб отатьв«до зо ре»."
812,"Годыпрошли,Городецкийнетужит,","[4, 12, 23, 27]","Годы прошли,Г ородецкийне тужи т,"
813,"Водочкуглушит,свампирамидружит.","[7, 15, 17, 28]","Водочку глушит,с ва мпирамидруж ит."
814,Начальникхороший–мудрейшийГесер,"[9, 17, 19, 29]",Начальник хороший– му дрейшийГес ер
815,Былзам.министромinUSSR.,"[3, 17]",Был зам.министромi nUSSR.
816,"Новотвызывают,нужноехатьскорее,","[2, 5, 16, 22, 28]","Но вот вызывают,ну жноеха тьскор ее,"
817,Вампир-парикмахерсподружкойсвоею,"[1, 20, 30]",В ампир-парикмахерспо дружкойсво ею
818,"Влоговоксебезаманилиподростка,","[1, 9, 14, 23]","В логовокс ебеза манилипод ростка,"
819,Решилипоужинатьподлоипросто.,"[6, 16, 23]",Решили поужинатьп одлоипр осто.
820,"Антохауспел,завязаласьдрака,","[6, 13, 24]","Антоха успел,з авязаласьдр ака,"
821,"Согромнымтрудом,новсёжубилвурдалака,","[9, 17, 20, 24, 30]","Согромным трудом,н овс ёжуб илвурд алака,"
822,"Ножницамибылтяжелораненвбою,","[9, 13, 20, 26]","Ножницами былт яжелора ненвбо ю,"
823,"Присмертибыл,можносказатьнакраю.","[3, 10, 15, 21, 29]","При смертиб ыл,мо жноска затьнакр аю."
824,"НодобрыйГесереговылечилбыстро,","[2, 9, 19, 27]","Но добрыйГ есереговыл ечилбыст ро,"
825,"Ещебы,абыкогонеберутвзамминистры.","[3, 7, 9, 16, 19, 25, 27]","Еще бы,а бы когонеб еру твзамм ин истры."
826,"Адальше-бедазабедой,какпонотам:","[1, 13, 22, 26, 29]","А дальше-бедаз абедой,ка кпон ота м:"
827,"Вороназалетелавтурбинусамолёта,","[4, 7, 16, 18, 26]","Воро наз алетелавт ур бинусамо лёта,"
828,"Натеплоцентраличего-товзорвалось,","[2, 16, 25]","На теплоцентралич его-товзо рвалось,"
829,"АСветавиновнавовсёмоказалась,","[1, 6, 7, 19, 24]","А Света в иновнавовсём оказа лась,"
830,"Но,встретивкрасавцаАнтона,влюбилась,","[3, 11, 13, 22, 30]","Но, встретив кр асавцаАнт она,влюб илась,"
831,Иразрушениеостановилось.,"[1, 12]",И разрушениео становилось.
832,НозлойЗавулониз«дозорадневного»,"[5, 7, 15, 18]",Нозло йЗ авулониз «до зорадневного»
833,СделализсынаАнтона«иного».,"[5, 9, 14, 21]",Сдела лизс ынаАн тона«ин ого».
834,Икаксэтимсправитсянашгерой?,"[1, 5, 7, 12, 22, 25]",И какс эт имспр авитсянашг еро й?
835,Всенапросмотркартинывторой!,"[3, 6, 15, 23]",Все нап росмотрка ртинывто рой!
836,"Вгазетахписали,чтотыуезжаешь,","[1, 9, 17, 21, 24]","В газетахп исали,чт отыу езж аешь,"
837,"Чторейснеотменят,чторейснеотложат.","[3, 8, 11, 20, 24, 29, 32]","Что рейсн еот менят,что рейс неотл ожа т."
838,"Какие-толюдитебяокружают,","[8, 13, 14, 18]","Какие-то людит е бяок ружают,"
839,"Аближе,чембыли-уженевозможно.","[7, 11, 16, 18, 22]","Аближе, чемб ыли-у же нево зможно."
840,"Вкрасивыхжурналахсчитаютпунктиры,","[1, 10, 19, 27]","В красивыхж урналахсч итаютпун ктиры,"
841,Ая-доквартирывечернеесальто.,"[5, 14, 20, 24]",Ая-до квартирыв ечерне есал ьто.
842,"Икривятсягубы,икофепротивен,","[1, 10, 16, 18, 23]","И кривятсяг убы,ик оф епрот ивен,"
843,"Иновоеутро,иновое'неттебя...'","[1, 7, 13, 15, 21, 26]","И новоеу тро,ин ов ое'нет тебя. ..'"
844,Япоасфальтушагаю,"[1, 4, 13]",Я поа сфальтуша гаю
845,"Стем,когосберечьнесмогу.","[1, 6, 11, 19, 22]","С тем,к огосб еречьнес мог у."
846,"Доостановкитрамвая,","[2, 12]","До остановкит рамвая,"
847,Звенящегонабегу.,[9],Звенящего набегу.
848,"Вгазетахписали,чтоты-идиотка,","[1, 9, 17, 21]","В газетахп исали,чт оты- идиотка,"
849,Вовсёмвиноватапроклятаяводка.,"[2, 7, 16]",Во всёмв иноватапр оклятаяводка.
850,"Ругаешьсяматом,ипесеннепишешь,","[9, 16, 18, 25]","Ругаешься матом,и пе сеннепи шешь,"
851,"Тебяокружаютнелюди,амыши.","[4, 13, 16, 22, 24]","Тебя окружаютн елю ди,амы ши ."
852,Такоеневыдуматьдаженарошно.,"[5, 8, 17, 22]",Такое нев ыдуматьда женар ошно.
853,"Аякаждыйвечерползудоквартиры,","[1, 3, 10, 16, 25]","А як аждыйве черпол зудокварт иры,"
854,"Иближе,чембыли-уженевозможно.","[1, 8, 12, 17, 19, 23]","И ближе,ч ембы ли-уж ен евоз можно."
855,"Измученныйдорогой,явыбилсяизсил.","[10, 19, 21, 29, 32]","Измученный дорогой,я вы билсяизс ил."
856,Ивдомелесникаяночлегапопросил.,"[1, 3]",И вд омелесникаяночлегапопросил.
857,Сулыбкойдобродушнойстарикменявпустил.,"[8, 20, 27, 32, 34]",Сулыбкой добродушнойс тарикме нявпу ст ил.
858,Ижестомдружелюбнымнаужинпригласил.,"[1, 8, 21, 28]",И жестомд ружелюбнымнау жинприг ласил.
859,"Будькакдома,путник,янивчёмнеоткажу,","[4, 8, 14, 22, 24, 27, 29, 33]","Будь какд ома,пу тник,яни вч ёмн ео ткаж у,"
860,"Янивчемнеоткажу,янивчёмнеоткажу!","[1, 4, 6, 10, 13, 21, 23, 25, 27]","Я нив че мнео тка жу,янивч ём не от кажу!"
861,"Множествоисторий,кольжелаешь,расскажу,","[9, 18, 23, 33]","Множество историй,к ольже лаешь,расс кажу,"
862,"Кольжелаешь,расскажу,","[4, 7, 14]","Коль жел аешь,ра сскажу,"
863,"Кольжелаешь,расскажу!","[4, 7, 14]","Коль жел аешь,ра сскажу!"
864,"Наулицетемнело,сиделязастолом.","[2, 17, 24, 27]","На улицетемнело,си делязас тол ом."
865,"Лесниксиделнапротив,болталотом,осём.","[6, 12, 22, 30, 35]","Лесник сиделн апротив,бо лталотом ,осём ."
866,"Чтонетсредиживотныхустарикаврагов,","[3, 7, 13, 22, 31]","Что нетс редижи вотныхуст арикавраг ов,"
867,Чтонравитсяемуподкармливатьволков.,"[3, 12, 16, 30]",Что нравитсяе мупо дкармливатьвол ков.
868,Иволкисрединочизавылиподокном.,"[1, 7]",И волкис рединочизавылиподокном.
869,Старикзаулыбалсяивдругпокинулдом.,"[6, 17, 19, 21, 26]",Старик заулыбалсяи вд ру гпоки нулдом.
870,Новскоревозвратилсясружьёмнаперевес:,"[8, 20, 22, 29, 32]",Новскоре возвратилсяс ру жьёмнап ере вес:
871,"'Друзьяхотятпокушать,пойдём,приятель,влес!'","[7, 13, 23, 26, 32, 42]","'Друзья хотятп окушать,по йдё м,прия тель,влес! '"
872,Яшёлксебедомой,"[1, 5, 7, 12]",Я шёлк се бедом ой
873,Яшёлпомокрымлужам,"[1, 5, 9, 15]",Я шёлп омок рымлуж ам
874,Поскользкоймостовой,[11],Поскользкой мостовой
875,Ногамиснегутюжил,"[6, 8, 14]",Ногами сн егутюж ил
876,Амокрыйснегпадал,[9],Амокрыйсн егпадал
877,Аяшёлдомой,[1],А яшёлдомой
878,Позимнемусаду,[9],Позимнему саду
879,Попустоймостовой,"[2, 9]",По пустойм остовой
880,Оншёлсомнойрядом,"[2, 6, 13]",Он шёлс омнойря дом
881,Шпионилзамной,[7],Шпионил замной
882,Следилзамнойвзглядом,"[6, 13]",Следил замнойв зглядом
883,Бесшумныйконвой,[9],Бесшумный конвой
884,Ивотястою,[1],И вотястою
885,Накраюснегопада,"[2, 7, 9]",На краюс не гопада
886,Снебападаетснег,[13],Снебападаетсн ег
887,Значитнебутакнадо,[6],Значит небутакнадо
888,Вэтотрудноповерить,"[1, 6, 12]",В этотр уднопо верить
889,Явернулсядомой,"[1, 10]",Я вернулсяд омой
890,Тыоткрыламнедвери,"[2, 11]",Ты открыламн едвери
891,Снегвошёлвследзамной,"[4, 10, 12, 17]",Снег вошёлв сл едзам ной
892,Ивдругснеграстаял,"[1, 3, 9, 15]",И вд ругсне граста ял
893,Увиделтебя,[6],Увидел тебя
894,Напорогеостались,"[2, 9]",На порогео стались
895,Толькокаплидождя,[6],Только каплидождя
896,Насуноситрека,"[4, 10]",Насу носитр ека
897,Плавныхвёселволнами,"[7, 13]",Плавных вёселв олнами
898,Словнокто-тооткрыл,"[6, 13]",Словно кто-тоо ткрыл
899,Всенебесныекраны,"[3, 12]",Все небесныек раны
900,Мыстоимнакраю,"[2, 4, 9]",Мы ст оимна краю
901,Накраюводопада,"[2, 7]",На краюв одопада
902,Снебальётсявода,[12],Снебальётсяв ода
903,Заморямиестьлимоновыйсад,"[8, 13, 18]",Заморями естьл имоно выйсад
904,Янайдулимонибудурад,"[1, 10, 14]",Я найдулимо нибу дурад
905,Нотебенедамнесмейменявинить,"[2, 7, 10, 14, 17, 22]",Но тебен еда мнес мей меняв инить
906,Посмотритедочегоонхорош,"[17, 20]",Посмотритедочегоо нхо рош
907,Нонадорогетыегоненайдешь,"[2, 6, 14, 18, 22]",Но надо рогетыег онен айде шь
908,Попробуйсделайсамнебудуятебяучить,"[2, 8, 10, 17, 21, 24, 30]",По пробуй сд елайсам небу дуя тебяуч ить
909,Растутлимонынавысокихгорах,"[6, 9, 14, 17, 25]",Растут лим онына выс окихгора х
910,Накрутыхберегахдлякрутых,"[2, 9, 17, 21]",На крутыхб ерегахдл якру тых
911,Корочетынедостанешь,[8],Корочеты недостанешь
912,Явижуцельязалимономдотянутьсяхочу,"[1, 6, 12, 23]",Я вижуц ельяза лимономдотя нутьсяхочу
913,Язалимономлечуикрутизнойнаслаждаюсь,"[1, 6, 17, 19, 24, 30]",Я залим ономлечуикр ут изной наслаж даюсь
914,СтранаЛимониястранабеззабот,"[14, 21]",СтранаЛимонияс транабе ззабот
915,ВстрануЛимониюведетподземныйход,"[1, 8, 16, 22]",В странуЛ имониюве детпод земныйход
916,Найтипопробуйсамнебудуятебяучить,"[5, 8, 15, 19, 22, 28]",Найти поп робуйса мнеб уду ятебяу чить
917,Труднадорогаиповсюдуобман,"[6, 13]",Трудна дорогаи повсюдуобман
918,Ночтобнесбитьсяуменяестьплан,"[2, 5, 10, 18, 20, 25]",Но что бнесб итьсяуме ня естьп лан
919,Ноятебенедамнесмейменявинить,"[2, 4, 9, 12, 16]",Но ят ебене дам несм ейменявинить
920,СтрануЛимониюищусдавнихпор,"[6, 14]",Страну Лимониюи щусдавнихпор
921,Мненадоелвечнозеленыйпомидор,"[3, 10, 16, 23, 25]",Мне надоелв ечнозе леныйпо ми дор
922,Еготыкушайсамнесмейегосомнойделить,"[3, 11, 15, 18, 23, 28]",Его тыкушайс амне сме йегос омной делить
923,Несмейегосомнойделить,"[2, 7, 11, 18]",Не смейе госо мнойдел ить
924,"Выйдунаулицу-солнцанема,","[5, 8, 14, 16]","Выйду нау лицу-с ол нцанема,"
925,Парнимолодыесвелименясума.,"[12, 18, 23]",Парнимолодые свелим енясу ма.
926,"Выйдунаулицу,глянунасело,-","[5, 8, 15, 21]","Выйду нау лицу,гл янунас ело,-"
927,"Девкигуляют,имневесело.","[13, 16, 19]","Девкигуляют,и мне вес ело."
928,"Матушкародная,водицымнедай,","[5, 15, 22]","Матуш кародная,в одицымн едай,"
929,Сердцемоетакикидаетвжар.,"[9, 14, 21, 23]",Сердцемое такик идаетвж ар .
930,"Раньшеягулялавзеленомсаду,","[7, 14, 16, 24]","Раньшея гулялав зе леномсад у,"
931,Думаланаулицувекнепойду.,"[6, 9, 15, 19, 22]",Думала нау лицуве кнеп ойд у.
932,Атеперьподвечеражпяткигорят-,"[1, 4, 9, 12, 20, 26]",А теп ерьпо две черажпят кигоря т-
933,Ноженькирезвыевпляскухотят.,"[2, 7, 10, 17]",Но женьк ире звыевпл яскухотят.
934,"Япойдунаулицу,кдевкампойду,","[1, 7, 10, 17, 19]","Я пойдун аул ицу,кде вк ампойду,"
935,Голосомзвонкимяимподпою.,"[7, 16]",Голосом звонкимяи мподпою.
936,"Матушка,слышишь,соловушекпоет,","[8, 17, 27]","Матушка, слышишь,с оловушекпо ет,"
937,"Атам,подгорою,пляскаидет-","[5, 15, 22]","Атам, подгорою,п ляскаид ет-"
938,"Девкиголосистыезвонкопоют,","[5, 16, 18]","Девки голосистыез во нкопоют,"
939,Мнедамолоденькойспатьнедают.,"[3, 18, 24]",Мне дамолоденькойсп атьнед ают.
940,"Теплоеместо,ноулицыждут","[6, 13, 16, 22]","Теплое место,н оул ицыжду т"
941,Отпечатковнашихног.,[10],Отпечатков нашихног.
942,Звезднаяпыль-насапогах.,"[8, 18]",Звездная пыль-насап огах.
943,"Мягкоекресло,клетчатыйплед,","[6, 14]","Мягкое кресло,к летчатыйплед,"
944,Ненажатыйвовремякурок.,"[2, 10, 13, 19]",Не нажатыйв овр емякур ок.
945,Солнечныйдень-вослепительныхснах.,"[9, 14, 16, 22, 32]",Солнечный день- во слепит ельныхснах .
946,"Группакрови-нарукаве,","[6, 15]","Группа крови-нар укаве,"
947,"Мойпорядковыйномер-нарукаве,","[3, 14, 24]","Мой порядковыйн омер-нарук аве,"
948,"Пожелаймнеудачивбою,пожелаймне:","[2, 9, 18, 20, 25]","По желаймн еудачивбо ю, пожел аймне:"
949,"Неостатьсявэтойтраве,","[2, 11, 13, 18]","Не остатьсяв эт ойтра ве,"
950,Неостатьсявэтойтраве.,"[2, 11, 13, 18]",Не остатьсяв эт ойтра ве.
951,"Пожелаймнеудачи,пожелаймнеудачи!","[2, 9, 19]","По желаймн еудачи,пож елаймнеудачи!"
952,"Иестьчемплатить,ноянехочу","[1, 6, 10, 19, 22, 24]","И естьч емпл атить,ноя нех оч у"
953,Победылюбойценой.,"[6, 12]",Победы любойц еной.
954,Яникомунехочуставитьногунагрудь.,"[1, 8, 11, 23]",Я никомун ехо чуставитьног унагрудь.
955,"Яхотелбыостатьсястобой,","[1, 7, 10, 19]","Я хотелб ыос татьсясто бой,"
956,"Простоостатьсястобой,","[6, 15]","Просто остатьсяс тобой,"
957,Новысокаявнебезвездазоветменявпуть.,"[9, 11, 16, 23, 29]",Новысокая вн ебезв ездазов етменя впуть.
958,"Ночькоротка,цельдалека,","[4, 13, 18]","Ночь коротка,ц ельда лека,"
959,"Ночьютакчастохочетсяпить,","[5, 9, 23]","Ночью такч астохочетсяпит ь,"
960,"Тывыходишьнакухню,","[2, 11, 14]","Ты выходишьн аку хню,"
961,"Новодаздесьгорька,","[6, 8, 13]","Новода зд есьго рька,"
962,"Тынеможешьздесьспать,","[2, 5, 12, 18]","Ты нем ожешьзд есьспа ть,"
963,Тынехочешьздесьжить.,"[2, 5, 12, 18]",Ты нех очешьзд есьжит ь.
964,"Доброеутро,последнийгерой!","[6, 12, 22]","Доброе утро,п оследнийге рой!"
965,"Доброеутротебеитаким,какты,","[6, 17, 24]","Доброе утротебеита ким,как ты,"
966,"Доброеутро,последнийгерой.","[6, 12, 22]","Доброе утро,п оследнийге рой."
967,"Здравствуй,последнийгерой!","[9, 12, 22]","Здравству й,п оследнийге рой!"
